1886033	Do you want to know who did this?	7108952	Veux-tu savoir qui a fait ça ?
259238	I like addition but not subtraction.	6221	J'aime les additions mais pas les soustractions.
3396573	Do you always get up before six?	7966990	Est-ce que tu te lèves toujours avant six heures ?
261507	I usually go to bed at nine.	7415343	D'habitude, je vais au lit à neuf heures.
7587457	I'm pretty uncomfortable right now.	7645945	Je suis assez mal à l'aise là, tout de suite.
326551	To speak is one thing and to write is another.	856600	La parole est une chose, et l'écriture en est une autre.
3096365	See what you can come up with.	8369104	Vois ce que tu peux concocter.
322145	Oh, really? When did he leave?	372391	Ah bon ? Il est parti quand ?
7219208	She drew water from the well.	7217116	Elle a puisé de l’eau du puits.
906420	You haven't got the balls to translate this sentence.	906418	T'as pas les couilles de traduire cette phrase.
8357303	Oh yeah, it's true.	7556800	Ah oui, c'est vrai.
2782355	I don't have as much money as you think I do.	477491	Je n'ai pas autant d'argent que tu le penses.
2542927	I'm really good with animals.	5803065	Je suis très doué avec les animaux.
36906	Let's do this first of all.	1339571	Faisons ceci en premier.
880481	Yes, a little bit.	3646819	Oui, un tantinet.
6740694	I wasn't aware of what was going on.	6741538	Je ne me suis pas rendu compte de ce qui se passait.
6815300	At high school, l had the option of choosing Latin as a subject.	1433154	Au lycée, j'ai eu la possibilité de choisir le latin comme matière.
909558	She spends a pretty good chunk of time just sitting there and looking out the window.	1406776	Elle passe un bon bout de temps juste assise là à regarder par la fenêtre.
3728033	Let's get back to the boat.	4578408	Retournons au bateau !
35570	Okay, let's go.	338192	Oui, allons-y.
20359	Look out! There's a hole in the road.	1005423	Attention ! Il y a un trou dans la route.
248328	All of us stood up.	4550382	Nous nous sommes toutes mises debout.
2675756	Let me take a nap.	7773465	Laissez-moi faire une sieste.
4017370	Would you mind a little advice?	4017716	Ça te dérange si je te donne un petit conseil ?
2016688	Is that all you wanted to tell us?	2018677	Est-ce là tout ce que tu voulais nous dire ?
1559492	Every man for himself.	5740877	Chacun pour soi.
1923407	Two people say they heard a gunshot.	1927610	Deux personnes disent avoir entendu un coup de feu.
1441006	I was gonna go shopping tomorrow, but I really can't be bothered.	1441191	J'allais aller faire des courses demain, mais j'ai vraiment la flemme.
417928	Hey, you! No running by the pool!	418488	Hé toi ! Ne cours pas autour de la piscine !
537501	Malware? This word will be a hit. It could become the word of the decade and, why not, of the century.	537434	Maliciel ? Le mot va faire un tabac. Il pourrait bien devenir le mot de la décennie et pourquoi pas du siècle.
1936316	I'd like to tell you something in private.	7763311	J'aimerais vous dire quelque chose en privé.
1096301	You know where to find me if you need anything.	1100365	Vous savez où me trouver si vous avez besoin de quoi que ce soit.
1952026	I can't keep looking the other way.	1952252	Je ne peux pas continuer à détourner le regard.
62316	This change will make your plan more interesting.	1071341	Ce changement rendra ton plan plus intéressant.
718452	You never get a second chance to make a first impression.	1916496	Il n'y a jamais de seconde chance pour la première impression.
1883027	Please stop singing that song.	1883849	Arrêtez de chanter cette chanson, je vous prie !
259817	I have a deep love for Japan.	139544	J'ai un amour profond pour le Japon.
25208	Give me a ring if you find out anything.	478615	Appelez-moi si vous découvrez quelque chose.
7185922	I'm sorry that I didn't believe you.	8252862	Je suis désolé de ne pas t'avoir cru.
