69024	Do you know his brother?	555001	Connais-tu son frère ?
4638962	You should do it like this.	4641410	Tu devrais faire comme ça.
1064366	You get tired of a beautiful woman after three days. You get used to an ugly woman after three days.	1064569	On se fatigue d'une belle femme après trois jours. On s'habitue à une femme laide au bout de trois jours.
64800	We will go but you won't.	634224	Nous y allons mais vous non.
17224	You may be right.	1984948	Il se peut que vous ayez raison.
4497702	No one else knows how to do it.	7830514	Personne d'autre ne sait le faire.
17150	Where do you come from?	2156351	D'où es-tu ?
1499829	Oh crumbs!	1499830	Oh, mon Dieu !
1977694	How well can you dance?	1978749	Jusqu'à quel point es-tu bonne danseuse ?
325671	I don't want to be any more burden to my parents.	135606	Je ne veux plus être aucune charge pour mes parents.
464580	What have you got in your bag?	467932	Qu'avez-vous dans votre sac ?
478036	Tatoeba: Ever heard of sentence fights? Yeah, that's what we do for fun.	776378	Tatoeba : déjà entendu parler de batailles de phrases ? Ben ouais, c'est ce qu'on fait pour se détendre.
2908681	I think it is a very interesting question.	3618200	Je pense que c'est une question très intéressante.
307801	I don't see him.	133602	Je ne le vois pas.
2202904	You're good.	4654443	T'es bonne.
2235851	Let Jacob decide.	5326371	Laissons Jacob décider.
1723507	Yes, it happens sometimes.	1723306	Oui, ça se produit parfois.
6153049	Are you going to leave tomorrow?	6153269	Allez-vous partir demain ?
6381692	It looks like l've come at a bad time.	6383257	On dirait que je tombe mal.
46878	The picture brought back a lot of memories.	1313147	La photo a fait resurgir de nombreux souvenirs.
458049	What tea do you drink? Is lemon tea okay?	458285	Que buvez-vous comme thé ? Est-ce que le thé au citron vous convient ?
3273171	I'm going to look after it tomorrow.	3273172	Je vais m'en occuper demain.
3164387	Your secret's safe with us.	5293288	Votre secret est en sécurité avec nous.
5774477	Muhammad wanted to take Eva in his arms and kiss her.	5923300	Muhammad voulait prendre Eva dans ses bras et l'embrasser.
3757244	Then the little doll's eyes would begin to shine like glowworms, and it would become alive.	3758576	Alors, les yeux de la petite poupée se mettaient à briller, tels des vers luisants, et elle s'animait.
3200090	Tell William you can't do it.	6603773	Dites à William que vous ne pouvez pas le faire.
1025206	Charlie is a 33-year-old man.	5395681	Charlie est un homme de trente-trois ans.
